o,trains,tot
1,1717,212435
2,2224,241686
3,981,270921
4,2286,570759
5,1805,249122
6,1171,287480
7,0,182958
8,2378,277565
9,1060,212092
10,1653,583680
11,8865,1174187
12,1354,168566
13,588,274062
14,3870,568479
15,1190,769889
16,3479,277213
17,1253,254226
18,791,368834
19,2826,420031
20,954,192098
21,1266,443611
22,3422,436397
23,4773,1185466
24,5003,363717
25,531,187031
26,8163,343611
27,1154,325901
28,6438,2185856
29,4098,281637
30,2517,330652
31,969,387689
32,1358,169875
33,184,113526
34,3120,112873
35,501,6537
36,3819,388390
37,6713,583283
38,1265,353891
39,2847,444144
40,3228,203758
41,7586,534792
42,0,97720
43,1564,204566
44,14201,357043
45,3547,202430
46,2372,230863
47,251,158091
48,5228,332305
49,1608,298046
50,1575,167233
51,921,344818
52,0,346382
53,541,275436
54,366,160352
55,1772,222322
56,352,284937
57,2192,268654
58,2171,145450
59,518,89688
60,1632,422863
61,2389,315550
62,1768,210715
63,83,597699
64,3148,273364
65,2546,338154
66,2229,219844
67,1649,254769
68,1431,231374
69,1768,442532
70,2016,316876
71,3355,4790710
72,4242,255587
73,787,203771
74,963,158997
75,70,168673
76,1561,383990
77,776,379481
78,1783,609788
79,1650,207111
80,1620,435329
81,607,12588
82,915,387216
83,4011,322546
84,12200,4094589
85,0,364799
86,1573,114592
87,688,191704
88,3330,624604
89,1922,212643
90,2786,384934
91,4363,362294
92,100,375920
93,1021,138139
94,2229,453000
95,1431,275435
