"","Year","Rank","Title","Worldwide Lifetime Gross","Domestic Lifetime Gross","Domestic %","Foreign Lifetime Gross","Foreign %","tt","img","adj","rev","dec"
"21016",2010,"38","Toy Story 3","$1,066,970,811","$415,004,880","38.9%","$651,965,931","61.1%","tt0435761","https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_QL75_UY281_CR5,0,190,281_.jpg",1.36671802773498,1458248242.46071,"2010's"
"20576",2010,"46","Alice in Wonderland","$1,025,468,216","$334,191,110","32.6%","$691,277,106","67.4%","tt1014759","https://m.media-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,1401525897.67643,"2010's"
"21398",2010,"53","Harry Potter and the Deathly Hallows: Part 1","$977,070,383","$296,374,621","30.3%","$680,695,762","69.7%","tt0926084","https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_QL75_UY281_CR0,0,190,281_.jpg",1.36671802773498,1335379706.81202,"2010's"
"21681",2010,"87","Inception","$836,848,102","$292,587,330","35%","$544,260,772","65%","tt1375666","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,1143735387.4792,"2010's"
"21460",2010,"119","Shrek Forever After","$752,600,867","$238,736,787","31.7%","$513,864,080","68.3%","tt0892791","https://m.media-amazon.com/images/M/MV5BMTY0OTU1NzkxMl5BMl5BanBnXkFtZTcwMzI2NDUzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,1028593172.61787,"2010's"
"20620",2010,"138","The Twilight Saga: Eclipse","$698,509,825","$300,531,751","43%","$397,978,074","57%","tt1325004","https://m.media-amazon.com/images/M/MV5BNDMwNjAzNzYwOF5BMl5BanBnXkFtZTcwMDY5NzcyMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg",1.36671802773498,954665970.377504,"2010's"
"21143",2010,"166","Iron Man 2","$623,933,331","$312,433,331","50.1%","$311,500,000","49.9%","tt1228705","https://m.media-amazon.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,852740931.582435,"2010's"
"20133",2010,"178","Tangled","$592,462,816","$200,821,936","33.9%","$391,640,880","66.1%","tt0398286","https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,809729611.38983,"2010's"
"21186",2010,"204","Despicable Me","$543,157,985","$251,557,985","46.3%","$291,600,000","53.7%","tt1323594","https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,742343810.007704,"2010's"
"20474",2010,"233","How to Train Your Dragon","$494,879,471","$217,581,231","44%","$277,298,240","56%","tt0892769","https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_QL75_UX190_CR0,1,190,281_.jpg",1.36671802773498,676360694.571649,"2010's"
"22021",2010,"236","Clash of the Titans","$493,214,993","$163,214,888","33.1%","$330,000,105","66.9%","tt0800320","https://m.media-amazon.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,674085822.48228,"2010's"
"21395",2010,"298","The King's Speech","$427,374,317","$138,797,449","32.5%","$288,576,868","67.5%","tt1504320","https://m.media-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_QL75_UY281_CR1,0,190,281_.jpg",1.36671802773498,584100183.634823,"2010's"
"20923",2010,"310","The Chronicles of Narnia: The Voyage of the Dawn Treader","$415,686,217","$104,386,950","25.1%","$311,299,267","74.9%","tt0980970","https://m.media-amazon.com/images/M/MV5BZWZkMzhhMTctYzBkMy00ZTIxLWFiY2ItNTEyYmQzMGQ4ZmU4XkEyXkFqcGdeQXVyNTA3MTU2MjE@._V1_QL75_UX190_CR0,1,190,281_.jpg",1.36671802773498,568125846.654854,"2010's"
"20158",2010,"337","Tron: Legacy","$400,063,852","$172,062,763","43%","$228,001,089","57%","tt1104001","https://m.media-amazon.com/images/M/MV5BMTk4NTk4MTk1OF5BMl5BanBnXkFtZTcwNTE2MDIwNA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,546774478.773498,"2010's"
"21379",2010,"402","The Karate Kid","$359,126,022","$176,591,618","49.2%","$182,534,404","50.8%","tt1155076","https://m.media-amazon.com/images/M/MV5BYjQ1NzRhYjYtMWY3My00ODA0LTk5ZDctYjQ4YjE0M2RhMGNiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,490824008.496148,"2010's"
"21078",2010,"463","Black Swan","$329,398,046","$106,954,678","32.5%","$222,443,368","67.5%","tt0947798","https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,450194247.768875,"2010's"
"20720",2010,"475","Megamind","$321,885,765","$148,415,853","46.1%","$173,469,912","53.9%","tt1001526","https://m.media-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_QL75_UX190_CR0,8,190,281_.jpg",1.36671802773498,439927077.896764,"2010's"
"21786",2010,"479","Robin Hood","$321,669,741","$105,269,730","32.7%","$216,400,011","67.3%","tt0955308","https://m.media-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,439631834.001541,"2010's"
"22032",2010,"485","The Last Airbender","$319,713,881","$131,772,187","41.2%","$187,941,694","58.8%","tt0938283","https://m.media-amazon.com/images/M/MV5BMTM1NjE0NDA0MV5BMl5BanBnXkFtZTcwODE4NDg1Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,436958724.879815,"2010's"
"20502",2010,"501","Little Fockers","$310,650,585","$148,438,600","47.8%","$162,211,985","52.2%","tt0970866","https://m.media-amazon.com/images/M/MV5BMTkwNjE3NjQwOV5BMl5BanBnXkFtZTcwNzAyNTMwNA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,424571754.845917,"2010's"
"20897",2010,"528","Resident Evil: Afterlife","$300,228,084","$60,128,566","20%","$240,099,518","80%","tt1220634","https://m.media-amazon.com/images/M/MV5BZjRlMGQ0NmUtM2U2Ny00MTk3LTg5NjAtN2M3Y2JmZjllNjJlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,410327134.835131,"2010's"
"21771",2010,"545","Shutter Island","$294,805,697","$128,012,934","43.4%","$166,792,763","56.6%","tt1130884","https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,402916260.768875,"2010's"
"20305",2010,"548","Salt","$293,503,354","$118,311,368","40.3%","$175,191,986","59.7%","tt0944835","https://m.media-amazon.com/images/M/MV5BMjIyODA2NDg4NV5BMl5BanBnXkFtZTcwMjg4NDAwMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,401136325.112481,"2010's"
"20354",2010,"554","Sex and the City 2","$290,745,055","$95,347,692","32.8%","$195,397,363","67.2%","tt1261945","https://m.media-amazon.com/images/M/MV5BMTM3OTUyNTI3MF5BMl5BanBnXkFtZTcwODcyMzM0Mw@@._V1_QL75_UX190_CR0,14,190,281_.jpg",1.36671802773498,397366508.143297,"2010's"
"21181",2010,"572","The Tourist","$278,780,441","$67,631,157","24.3%","$211,149,284","75.7%","tt1243957","https://m.media-amazon.com/images/M/MV5BMTMyMzc3OTkwMV5BMl5BanBnXkFtZTcwMjc0MTgwNA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,381014254.494607,"2010's"
"20704",2010,"582","The Expendables","$274,470,394","$103,068,524","37.6%","$171,401,870","62.4%","tt1320253","https://m.media-amazon.com/images/M/MV5BNTUwODQyNjM0NF5BMl5BanBnXkFtZTcwNDMwMTU1Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,375123635.559322,"2010's"
"21571",2010,"589","Grown Ups","$271,457,301","$162,001,186","59.7%","$109,456,115","40.3%","tt1375670","https://m.media-amazon.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,371005587.03698,"2010's"
"21965",2010,"643","True Grit","$252,276,927","$171,243,005","67.9%","$81,033,922","32.1%","tt1403865","https://m.media-amazon.com/images/M/MV5BMTU5MjU3MTI4OF5BMl5BanBnXkFtZTcwMTQxOTAxNA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,344791424.112481,"2010's"
"20328",2010,"696","Gulliver's Travels","$237,382,724","$42,779,261","18%","$194,603,463","82%","tt1320261","https://m.media-amazon.com/images/M/MV5BMjI1NDU1MjcxN15BMl5BanBnXkFtZTcwODczNTM1Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,324435248.363636,"2010's"
"21356",2010,"738","Percy Jackson & the Olympians: The Lightning Thief","$226,497,209","$88,768,303","39.2%","$137,728,906","60.8%","tt0814255","https://m.media-amazon.com/images/M/MV5BMTQ5NDlmZWUtMjIyMC00NzQ3LTg3OWYtMzRkY2FiNzQ0Njc4XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,309557818.771957,"2010's"
"21723",2010,"746","The Social Network","$224,920,375","$96,962,694","43.1%","$127,957,681","56.9%","tt1285016","https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,307402731.317411,"2010's"
"22037",2010,"780","Valentine's Day","$216,528,528","$110,528,528","51%","$106,000,000","49%","tt0817230","https://m.media-amazon.com/images/M/MV5BMTk3MTIwNDIxNF5BMl5BanBnXkFtZTcwMDMyMzcwMw@@._V1_QL75_UX190_CR0,11,190,281_.jpg",1.36671802773498,295933442.736518,"2010's"
"21162",2010,"792","The Sorcerer's Apprentice","$215,283,742","$63,150,991","29.3%","$152,132,751","70.7%","tt0963966","https://m.media-amazon.com/images/M/MV5BN2EwMzg3YWUtMTQyYS00ZDY3LTgzNTctOWI5NzY3MmZkOTk2XkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_QL75_UY281_CR1,0,190,281_.jpg",1.36671802773498,294232171.269646,"2010's"
"21063",2010,"815","Due Date","$211,780,824","$100,539,043","47.5%","$111,241,781","52.5%","tt1231583","https://m.media-amazon.com/images/M/MV5BMTU5MTgxODM3Nl5BMl5BanBnXkFtZTcwMjMxNDEwNA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,289444670.089368,"2010's"
"21908",2010,"850","Eat Pray Love","$204,594,016","$80,574,010","39.4%","$124,020,006","60.6%","tt0879870","https://m.media-amazon.com/images/M/MV5BMTY5NDkyNzkyM15BMl5BanBnXkFtZTcwNDQyNDk0Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,279622330.033898,"2010's"
"20250",2010,"856","Yogi Bear","$203,509,374","$100,246,011","49.3%","$103,263,363","50.7%","tt1302067","https://m.media-amazon.com/images/M/MV5BMmI0ZmMwMDYtNTk4OC00NGNhLTk3NDUtNjFmZTI5NTUzYTFmXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UY281_CR1,0,190,281_.jpg",1.36671802773498,278139930.25886,"2010's"
"21482",2010,"873","RED","$199,006,387","$90,380,162","45.4%","$108,626,225","54.6%","tt1245526","https://m.media-amazon.com/images/M/MV5BMzg2Mjg1OTk0NF5BMl5BanBnXkFtZTcwMjQ4MTA3Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.36671802773498,271985616.747304,"2010's"
